name,address,latitude,longitude,contact,operating_hours,website
Bangalore E-Waste Recycling Center #1,877 Bangalore Industrial Estate, Bangalore, India,12.98563232,77.57937557,+91-9673548231,Mon-Fri 9:00-18:00,https://bangalore-ewaste1.org
Hyderabad E-Waste Recycling Center #2,638 Hyderabad Industrial Estate, Hyderabad, India,17.36963582,78.48187462,+91-8613709035,Mon-Sat 9:00-17:00,https://hyderabad-ewaste2.org
Mumbai E-Waste Recycling Center #3,239 Mumbai Industrial Estate, Mumbai, India,19.09247984,72.86488221,+91-6732154890,Mon-Fri 9:00-18:00,https://mumbai-ewaste3.org
Delhi E-Waste Recycling Center #4,194 Delhi Industrial Estate, Delhi, India,28.71951223,77.08931553,+91-9214857603,Mon-Sat 9:00-17:00,https://delhi-ewaste4.org
Chennai E-Waste Recycling Center #5,146 Chennai Industrial Estate, Chennai, India,13.07451320,80.28321411,+91-7345698124,Mon-Fri 9:00-18:00,https://chennai-ewaste5.org
Pune E-Waste Recycling Center #6,827 Pune Industrial Estate, Pune, India,18.49893112,73.87821057,+91-9482715362,Mon-Sat 9:00-17:00,https://pune-ewaste6.org
Kolkata E-Waste Recycling Center #7,541 Kolkata Industrial Estate, Kolkata, India,22.58851201,88.34412044,+91-9684123570,Mon-Fri 9:00-18:00,https://kolkata-ewaste7.org
Ahmedabad E-Waste Recycling Center #8,932 Ahmedabad Industrial Estate, Ahmedabad, India,23.01037245,72.59323456,+91-7602391845,Mon-Sat 9:00-17:00,https://ahmedabad-ewaste8.org
Jaipur E-Waste Recycling Center #9,78 Jaipur Industrial Estate, Jaipur, India,26.89831258,75.76210423,+91-8756123049,Mon-Fri 9:00-18:00,https://jaipur-ewaste9.org
Lucknow E-Waste Recycling Center #10,322 Lucknow Industrial Estate, Lucknow, India,26.82802492,80.95790162,+91-8412397650,Mon-Sat 9:00-17:00,https://lucknow-ewaste10.org
Kochi E-Waste Recycling Center #11,414 Kochi Industrial Estate, Kochi, India,9.91528122,76.27984392,+91-9045632178,Mon-Fri 9:00-18:00,https://kochi-ewaste11.org
Chandigarh E-Waste Recycling Center #12,598 Chandigarh Industrial Estate, Chandigarh, India,30.72901590,76.77794833,+91-9876543210,Mon-Sat 9:00-17:00,https://chandigarh-ewaste12.org
Bhubaneswar E-Waste Recycling Center #13,355 Bhubaneswar Industrial Estate, Bhubaneswar, India,20.30338212,85.83162401,+91-8123456789,Mon-Fri 9:00-18:00,https://bhubaneswar-ewaste13.org
Thiruvananthapuram E-Waste Recycling Center #14,112 Thiruvananthapuram Industrial Estate, Thiruvananthapuram, India,8.51242018,76.94011245,+91-9441235678,Mon-Sat 9:00-17:00,https://thiruvananthapuram-ewaste14.org
Gurgaon E-Waste Recycling Center #15,751 Gurgaon Industrial Estate, Gurgaon, India,28.46912163,77.03376421,+91-9912345678,Mon-Fri 9:00-18:00,https://gurgaon-ewaste15.org
Bangalore E-Waste Recycling Center #16,491 Bangalore Industrial Estate, Bangalore, India,12.96043702,77.60394621,+91-6604412293,Mon-Sat 9:00-17:00,https://bangalore-ewaste16.org
Hyderabad E-Waste Recycling Center #17,214 Hyderabad Industrial Estate, Hyderabad, India,17.40120110,78.49870135,+91-7890456123,Mon-Fri 9:00-18:00,https://hyderabad-ewaste17.org
Mumbai E-Waste Recycling Center #18,63 Mumbai Industrial Estate, Mumbai, India,19.06232045,72.89513270,+91-9901234567,Mon-Sat 9:00-17:00,https://mumbai-ewaste18.org
Delhi E-Waste Recycling Center #19,887 Delhi Industrial Estate, Delhi, India,28.68014490,77.10641288,+91-8345126732,Mon-Fri 9:00-18:00,https://delhi-ewaste19.org
Chennai E-Waste Recycling Center #20,210 Chennai Industrial Estate, Chennai, India,13.10027341,80.25719402,+91-7012349876,Mon-Sat 9:00-17:00,https://chennai-ewaste20.org
Pune E-Waste Recycling Center #21,445 Pune Industrial Estate, Pune, India,18.50923188,73.83547312,+91-8123459901,Mon-Fri 9:00-18:00,https://pune-ewaste21.org
Kolkata E-Waste Recycling Center #22,314 Kolkata Industrial Estate, Kolkata, India,22.55802271,88.37245809,+91-9988776655,Mon-Sat 9:00-17:00,https://kolkata-ewaste22.org
Ahmedabad E-Waste Recycling Center #23,159 Ahmedabad Industrial Estate, Ahmedabad, India,23.02912480,72.56110244,+91-7632451980,Mon-Fri 9:00-18:00,https://ahmedabad-ewaste23.org
